RIC II, Part 1 (second edition) Vespasian 1070	http://numismatics.org/ocre/id/ric.2_1(2).ves.1070	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1072	http://numismatics.org/ocre/id/ric.2_1(2).ves.1072	79	79	T CAESAR IMP VESPASIANVS	TR POT VIII COS VII	Vespasian	8	https://godot.date/id/z65SiXbWkjFtb9jtyBMZQN
RIC II, Part 1 (second edition) Vespasian 1073	http://numismatics.org/ocre/id/ric.2_1(2).ves.1073	79	79	T CAESAR IMP VESPASIANVS	TR POT VIII COS VII	Vespasian	8	https://godot.date/id/z65SiXbWkjFtb9jtyBMZQN
RIC II, Part 1 (second edition) Vespasian 1074	http://numismatics.org/ocre/id/ric.2_1(2).ves.1074	79	79	T CAESAR IMP VESPASIANVS	TR POT VIII COS VII	Vespasian	8	https://godot.date/id/z65SiXbWkjFtb9jtyBMZQN
RIC II, Part 1 (second edition) Vespasian 1075	http://numismatics.org/ocre/id/ric.2_1(2).ves.1075	79	79	T CAESAR IMP VESPASIANVS	TR POT VIII COS VII	Vespasian	8	https://godot.date/id/z65SiXbWkjFtb9jtyBMZQN
RIC II, Part 1 (second edition) Vespasian 1076	http://numismatics.org/ocre/id/ric.2_1(2).ves.1076	79	79	T CAESAR IMP VESPASIANVS	TR POT VIII COS VII	Vespasian	8	https://godot.date/id/z65SiXbWkjFtb9jtyBMZQN
RIC II, Part 1 (second edition) Vespasian 1077	http://numismatics.org/ocre/id/ric.2_1(2).ves.1077	79	79	T CAESAR IMP VESPASIANVS	TR POT VIII COS VII	Vespasian	8	https://godot.date/id/z65SiXbWkjFtb9jtyBMZQN
RIC II, Part 1 (second edition) Vespasian 1078	http://numismatics.org/ocre/id/ric.2_1(2).ves.1078	79	79	T CAESAR IMP VESPASIANVS	TR POT VIII COS VII	Vespasian	8	https://godot.date/id/z65SiXbWkjFtb9jtyBMZQN
RIC II, Part 1 (second edition) Domitian 161	http://numismatics.org/ocre/id/ric.2_1(2).dom.161	83	83	IMP CAES DOMITIANVS AVG P M	TR POT II COS VIIII DES X P P	Domitian	2	https://godot.date/id/bBSgKKNmxwrJqhAy5NdoDK
RIC II, Part 1 (second edition) Domitian 162	http://numismatics.org/ocre/id/ric.2_1(2).dom.162	83	83	IMP CAES DOMITIANVS AVG P M	TR POT II COS VIIII DES X P P	Domitian	2	https://godot.date/id/bBSgKKNmxwrJqhAy5NdoDK
